date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:04	133/133	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Dec%202024%2011:00:28%20GMT	https://scholarrock.com/robots.txt		(from )
06:43:05	296038/296038	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2014:43:04%20GMT	https://scholarrock.com/	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/index.html	(from )
06:43:06	918/918	---MCZ	200	added ('OK')	text/css	etag:W/%22673e5161-396%22	https://scholarrock.com/wp-content/plugins/wp-alert-bar/public/css/style.css?ver=6.7.1	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/wp-content/plugins/wp-alert-bar/public/css/style9704.css	(from https://scholarrock.com/)
06:43:06	1038/1038	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c02c5965590cf932632ff9b750a021cb-gzip%22	https://scholarrock.com/feed/	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/feed/index.html	(from https://scholarrock.com/)
06:43:06	72670/72670	---MCZ	200	added ('OK')	text/css	etag:W/%22673e5161-11bde%22	https://scholarrock.com/wp-content/plugins/wp-alert-bar/public/css/all.css?ver=6.7.1	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/wp-content/plugins/wp-alert-bar/public/css/all9704.css	(from https://scholarrock.com/)
06:43:06	716/716	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c02c5965590cf932632ff9b750a021cb-gzip%22	https://scholarrock.com/comments/feed/	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/comments/feed/index.html	(from https://scholarrock.com/)
06:43:06	808840/808840	---MCZ	200	added ('OK')	text/css	etag:W/%22673e5161-c5788%22	https://scholarrock.com/wp-content/themes/scholar-rock/style.css?ver=3.4.8	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/wp-content/themes/scholar-rock/styleb045.css	(from https://scholarrock.com/)
06:43:07	5064/5064	---MCZ	200	added ('OK')	text/css	etag:W/%22674613d5-13c8%22	https://scholarrock.com/wp-content/plugins/cookie-notice/css/front.min.css?ver=2.5.3	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/wp-content/plugins/cookie-notice/css/front.min91ee.css	(from https://scholarrock.com/)
06:43:07	116/116	---MCZ	200	added ('OK')	text/css	etag:W/%22673e5163-74%22	https://scholarrock.com/wp-content/plugins/exit-notifier/assets/css/frontend.css?ver=1.9.1	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/wp-content/plugins/exit-notifier/assets/css/frontend3109.css	(from https://scholarrock.com/)
06:43:07	61814/61814	---MCZ	200	added ('OK')	text/css	etag:W/%22673e5163-f176%22	https://scholarrock.com/wp-content/plugins/exit-notifier/assets/css/jAlert.min.css?ver=1.9.1	C:/Users/HP/Documents/programming/clones/scholar-rock/scholarrock.com/wp-content/plugins/exit-notifier/assets/css/jAlert.min3109.css	(from https://scholarrock.com/)
